date,stock_id,link,source,title
2021-02-28 21:30:00,2330,https://ec.ltn.com.tw/article/paper/1434154,自由財經,〈財經週報-科技業豪賭〉台積電拚高成長 資本支出超越政府公建預算 - 自由財經
2021-03-02 01:16:36,2330,https://tw.stock.yahoo.com/news/%E5%8F%B0%E8%82%A1%E5%BC%B7%E5%8B%A2%E5%8F%8D%E5%BD%88%E9%80%BE300%E9%BB%9E-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E7%AB%99%E5%9B%9E620%E5%85%83-011636026.html,Yahoo奇摩股市,台股強勢反彈逾300點 台積電站回620元 - Yahoo奇摩股市
2021-03-02 01:21:08,2330,https://udn.com/news/story/7251/5287141,UDN 聯合新聞網,台積電621元開盤 上漲15元 市值重回16兆 - UDN 聯合新聞網
2021-03-02 01:21:19,2330,https://money.udn.com/money/story/5607/5287141,經濟日報,台積電621元開盤、上漲15元 市值重回16兆 - 經濟日報
2021-03-02 01:49:20,2330,https://tw.stock.yahoo.com/news/%E7%BE%8E%E5%9C%8B%E5%82%B5%E5%B8%82%E9%A2%A8%E6%9A%B4-%E9%A0%90%E6%BC%94-%E5%85%A8%E7%90%83%E5%B0%8F%E8%82%A1%E7%81%BD-%E8%AC%9D%E9%87%91%E6%B2%B3-%E5%BE%9E679%E6%AE%BA%E5%88%B0606%E7%9A%84%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%B0%B1%E6%98%AF%E9%A1%AF%E8%91%97-014920990.html?bcmt=1,Yahoo奇摩股市,美國債市風暴「預演」全球小股災 謝金河:從679殺到606的台積電就是顯著「受害者」 - Yahoo奇摩股市
2021-03-02 01:54:19,2330,https://money.udn.com/money/story/5612/5287203,經濟日報,台積電股價強彈16元 市值攀至16.12兆元 - 經濟日報
2021-03-02 02:42:52,2330,https://tw.stock.yahoo.com/news/%E7%9B%A4%E4%B8%AD%E8%A7%A3%E6%9E%90-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E4%B8%8D%E5%A4%A0%E5%8A%9B-%E4%BA%94%E6%97%A5%E7%B7%9A%E6%B2%92%E7%AB%99%E7%A9%A9-024252095.html,Yahoo奇摩股市,《盤中解析》台積電不夠力 五日線沒站穩 - Yahoo奇摩股市
2021-03-02 03:52:31,2330,https://www.businesstoday.com.tw/article/category/80401/post/202103020013/,今周刊,美股強彈、台股一度大漲300點！ 台積電、聯發科帶頭衝專家建議科技股「這樣操作」 - 今周刊
2021-03-02 06:13:05,2330,https://tw.news.yahoo.com/%E7%BE%8E%E8%82%A1%E5%BC%B7%E5%BD%88-%E5%8F%B0%E8%82%A1-%E5%BA%A6%E5%A4%A7%E6%BC%B2300%E9%BB%9E-%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E8%81%AF%E7%99%BC%E7%A7%91%E5%B8%B6%E9%A0%AD%E8%A1%9D-061305060.html,Yahoo奇摩新聞,美股強彈、台股一度大漲300點！ 台積電、聯發科帶頭衝 專家建議科技股「這樣操作」 - Yahoo奇摩新聞
2021-03-03 00:50:42,2330,https://tw.appledaily.com/property/20210303/NG7XS2EZ3RBCLA6LBJFB3H7RCM/,台灣蘋果日報,台積電等晶片廠掀擴產潮應材等設備供應商股價漲不停｜ 蘋果新聞網｜ 蘋果日報 - 台灣蘋果日報
2021-03-03 01:45:10,2330,https://udn.com/news/story/7251/5290649,UDN 聯合新聞網,台積電早盤下探601元 9天市值大減1.6兆 - UDN 聯合新聞網
2021-03-03 02:35:07,2330,https://udn.com/news/story/7251/5290749,UDN 聯合新聞網,美國半導體過度依賴台廠？法人：首選仍是台積電 - UDN 聯合新聞網
2021-03-03 02:35:20,2330,https://money.udn.com/money/story/5612/5290749,經濟日報,美國半導體過度依賴台廠？法人：首選仍是台積電 - 經濟日報
2021-03-03 02:45:31,2330,https://tw.stock.yahoo.com/news/%E5%8D%8A%E5%B0%8E%E9%AB%94-%E6%99%B6%E5%9C%93%E9%9B%99%E9%9B%84%E9%BD%8A%E8%90%BD%E9%9B%A3-%E5%8F%B0%E7%A9%8D%E9%9B%BB-%E8%81%AF%E9%9B%BB%E4%B8%8A%E6%BC%94600-50%E5%85%83%E4%BF%9D%E8%A1%9B%E6%88%B0-024531935.html,Yahoo奇摩股市,《半導體》晶圓雙雄齊落難 台積電、聯電上演600、50元保衛戰 - Yahoo奇摩股市
2021-03-03 03:04:17,2330,https://udn.com/news/story/6839/5290809,UDN 聯合新聞網,台股一度漲300點！台積電、聯發科帶頭衝 專家建議科技股「這樣操作」 - UDN 聯合新聞網
2021-03-03 03:48:55,2330,https://ctee.com.tw/news/stock/423672.html,工商時報,傳產撐盤、台積電翻紅台股奔回萬六 - 工商時報
2021-03-03 04:10:30,2330,https://tw.appledaily.com/property/20210303/YU7FPQMOO5BGHPZGNS4F345ZY4/,台灣蘋果日報,台積電人氣爆棚！近1年零股股東激增近2倍中鋼股東破百萬最多｜ 蘋果新聞網｜ 蘋果日報 - 台灣蘋果日報
2021-03-03 06:02:14,2330,https://money.udn.com/money/story/5607/5291446?from=edn_catehotlist_story,經濟日報,"台積電回神 台股漲264點收16,211點 - 經濟日報"
2021-03-03 07:18:38,2330,https://tw.appledaily.com/property/20210303/NG7XS2EZ3RBCLA6LBJFB3H7RCM/,台灣蘋果日報,台積電等晶片廠掀擴產潮應材等設備供應商股價漲不停｜ 蘋果新聞網｜ 蘋果日報 - 台灣蘋果日報
2021-03-03 07:57:40,2330,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%B7%8C%E8%90%BD679%E5%85%83%E5%BE%8C%E8%BB%9F%E8%B6%B4%E8%B6%B4-%E5%8E%9F%E4%BE%86%E8%B2%B7%E7%9B%A4%E8%BD%89%E9%80%B2%E5%8E%9F%E7%89%A9%E6%96%99-%E6%B3%95%E4%BA%BA%E9%BB%9E%E5%90%8D%E9%80%9916%E6%AA%94%E6%9C%89%E6%BC%B2%E5%83%B9%E9%A1%8C%E6%9D%90-075740345.html?bcmt=1,Yahoo奇摩股市,台積電跌落679元後軟趴趴 原來買盤轉進原物料 法人點名這16檔有漲價題材！ - Yahoo奇摩股市
2021-03-03 08:40:40,2330,https://udn.com/news/story/7240/5291933,UDN 聯合新聞網,全日減壓供水 台積電、聯電部分廠區水車載水 - UDN 聯合新聞網
2021-03-03 10:20:10,2330,https://udn.com/news/story/7253/5292198?from=udn-catebreaknews_ch2,UDN 聯合新聞網,"台積電收622元、市值16.12兆 外資仍賣超3,661張 - UDN 聯合新聞網"
2021-03-03 12:20:10,2330,https://udn.com/news/story/7240/5292432,UDN 聯合新聞網,科學園區營業額再創紀錄 護國神山台積電貢獻逾四成 - UDN 聯合新聞網
2021-03-03 12:20:22,2330,https://money.udn.com/money/story/5612/5292432,經濟日報,科學園區營業額再創紀錄 護國神山台積電貢獻逾四成 - 經濟日報
2021-03-03 22:55:42,2330,https://tw.appledaily.com/property/20210303/YU7FPQMOO5BGHPZGNS4F345ZY4/,台灣蘋果日報,台積電人氣爆棚！近1年零股股東激增近2倍中鋼股東破百萬最多｜ 蘋果新聞網｜ 蘋果日報 - 台灣蘋果日報
2021-03-04 01:10:27,2330,https://tw.news.yahoo.com/%E6%96%B0-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E8%B7%8C%E9%80%BE2-%E5%8F%B0%E8%82%A1%E8%B7%8C160%E9%BB%9E-011027178.html,Yahoo奇摩新聞,新／台積電跌逾2% 台股跌160點 - Yahoo奇摩新聞
2021-03-04 01:54:19,2330,https://money.udn.com/money/story/5612/5293293?from=edn_breaknewstab_index,經濟日報,台股早盤跌逾百點 台積電、聯電ADR下跌拖累 - 經濟日報
2021-03-04 02:01:08,2330,https://tw.stock.yahoo.com/news/%E5%8F%B0%E7%A9%8D%E9%9B%BBadr3%E6%97%A5%E4%B8%8B%E8%B7%8C3-11%E7%BE%8E%E5%85%83%E8%B7%8C%E5%B9%852-47-%E6%8A%98%E5%8F%B0%E8%82%A1694-53%E5%85%83-020108014.html,Yahoo奇摩股市,台積電ADR3日下跌3.11美元跌幅2.47%折台股694.53元 - Yahoo奇摩股市
2021-03-04 02:45:18,2330,https://money.udn.com/money/story/5612/5293416,經濟日報,"研調：台積電去年每片晶圓營收1,634美元 - 經濟日報"
2021-03-04 02:53:08,2330,https://udn.com/news/story/7251/5293430,UDN 聯合新聞網,5G指數與台積電資本支出成長具高連動 可逢回布局機會 - UDN 聯合新聞網
2021-03-04 02:53:19,2330,https://money.udn.com/money/story/5607/5293430,經濟日報,5G指數與台積電資本支出成長具高連動 可逢回布局機會 - 經濟日報
2021-03-04 02:55:30,2330,https://money.udn.com/money/story/12972/5293382,經濟日報,台積電600大關的操作術法人獻計兩條路| 投資理財| 會員專區| 經濟日報- 經濟日報 - 經濟日報
2021-03-04 03:42:27,2330,https://www.chinatimes.com/realtimenews/20210304002256-260410,中時新聞網 Chinatimes.com,《科技》台積電領先製程 每片晶圓收入居冠 - 中時新聞網 Chinatimes.com
2021-03-04 04:27:45,2330,https://news.cnyes.com/news/id/4572620,Anue鉅亨,台積電去年每片晶圓營收1634美元 較聯電高出1.42倍 - Anue鉅亨
2021-03-04 04:49:08,2330,https://udn.com/news/story/7251/5293813,UDN 聯合新聞網,張錫：台積電今年股價一定過700元 上看800元 - UDN 聯合新聞網
2021-03-04 04:49:22,2330,https://money.udn.com/money/story/5607/5293813?from=edn_hotlist_index,經濟日報,張錫：台積電今年股價一定過700元 上看800元 - 經濟日報
2021-03-04 05:50:34,2330,https://tw.news.yahoo.com/%E5%8F%B0%E7%A9%8D%E9%9B%BB%E9%A0%98%E8%B7%8C-%E5%8F%B0%E8%82%A1%E6%AE%BA305%E9%BB%9E%E5%A4%B1%E5%AE%88%E8%90%AC%E5%85%AD-055034622.html,Yahoo奇摩新聞,台積電領跌 台股殺305點失守萬六 - Yahoo奇摩新聞
2021-03-04 05:54:12,2330,https://tw.stock.yahoo.com/news/%E5%BC%B5%E9%8C%AB-%E5%8F%B0%E8%82%A1%E5%9F%BA%E6%9C%AC%E9%9D%A2%E9%9D%9E%E5%B8%B8%E5%A5%BD-%E9%95%B7%E6%9C%9F%E7%9C%8B%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%BE%88%E4%BE%BF%E5%AE%9C-055412373.html,Yahoo奇摩股市,張錫：台股基本面非常好 長期看台積電很便宜 - Yahoo奇摩股市
2021-03-04 05:54:12,2330,https://tw.stock.yahoo.com/news/%E5%8F%B0%E8%82%A1%E7%9B%A4%E5%BE%8C-%E5%A4%A7%E8%B7%8C305%E9%BB%9E%E4%B8%89%E5%BA%A6%E8%B7%8C%E7%A0%B4%E8%90%AC%E5%85%AD-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E5%89%B5%E7%89%9B%E5%B9%B4%E6%94%B6%E7%9B%A4%E6%96%B0%E4%BD%8E-055412213.html,Yahoo奇摩股市,【台股盤後】大跌305點三度跌破萬六 台積電創牛年收盤新低 - Yahoo奇摩股市
2021-03-04 08:02:09,2330,https://udn.com/news/story/7240/5294514,MISC,投資台積電等全球龍頭ADR 永豐金證教新招 - MISC
2021-03-04 09:30:00,2330,https://www.ettoday.net/news/20210304/1931146.htm,ETtoday,大媽All in台積電「困在650」尷尬了...股民曝1招解：還要我教？ - ETtoday
2021-03-04 09:56:08,2330,https://udn.com/news/story/7251/5294874,UDN 聯合新聞網,外資狂賣超525億 聯電、台積電合計遭倒貨逾12.6萬張 - UDN 聯合新聞網
2021-03-04 10:12:00,2330,https://finance.ettoday.net/news/1931176,ETtoday,才剛爆發小股災！ 謝金河曝：台積電是「美債風暴」最大受害者 - ETtoday
2021-03-04 11:22:12,2330,https://tw.stock.yahoo.com/news/%E5%A4%96%E8%B3%87%E8%B3%A3%E8%B6%85525-15%E5%84%84%E5%8F%B2%E4%B8%8A%E7%AC%AC5%E5%A4%A7-%E8%AA%BF%E7%AF%80%E8%81%AF%E9%9B%BB-%E5%8F%B0%E7%A9%8D%E9%9B%BB%E6%9C%80%E5%A4%9A-112212149.html?bcmt=1,Yahoo奇摩理財,外資賣超525.15億史上第5大 調節聯電、台積電最多 - Yahoo奇摩理財
2021-03-04 17:06:48,2330,https://money.udn.com/money/story/5607/5295801,經濟日報,台積電將上800元？謝金河：今年台股行情恐怕不會這麼平順 - 經濟日報
2021-03-04 18:00:56,2330,https://udn.com/news/story/7240/5295638,UDN 聯合新聞網,"台積電每片晶圓均價1,634美元 創歷史新高 - UDN 聯合新聞網"
2021-03-04 22:58:18,2330,https://money.udn.com/money/story/5599/5295891,經濟日報,台積電ADR重挫5.9%甚於費半 溢價急縮至7% - 經濟日報
2021-03-05 00:03:19,2330,https://money.udn.com/money/story/5599/5295913,經濟日報,台積電大客戶博通上季晶片銷售略低於所料 盤後再挫2% - 經濟日報
2021-03-05 00:56:18,2330,https://money.udn.com/money/story/12926/5295950,經濟日報,台積電大客戶博通上季晶片銷售略低於所料盤後再挫2% | 今晨必讀| 會員專區| 經濟日報 - 經濟日報
2021-03-05 01:09:18,2330,https://money.udn.com/money/story/5607/5295970?from=edn_stockmarket_index,經濟日報,台積電開跌13元 台股開盤跌146點 - 經濟日報
2021-03-05 01:33:07,2330,https://udn.com/news/story/7251/5296008,udn OOPS! 新鮮事,"台積電跌破600元 早盤挫低至584元 市值急縮4,408億！ - udn OOPS! 新鮮事"
2021-03-05 01:55:06,2330,https://www.chinatimes.com/realtimenews/20210305001534-260410,中時新聞網 Chinatimes.com,台積電失守600元關卡 台股早盤跌逾200點 - 中時新聞網 Chinatimes.com
