date,stock_id,buy,name,sell
2012-10-22,2330,783000,Investment_Trust,126000
2012-10-23,2330,334000,Dealer,789000
2012-10-23,2330,12016778,Foreign_Investor,12161533
2012-10-23,2330,178000,Investment_Trust,164000
2012-10-24,2330,2175000,Dealer,157000
2012-10-24,2330,20564100,Foreign_Investor,23744823
2012-10-24,2330,0,Investment_Trust,801000
2012-10-25,2330,1259000,Dealer,638000
2012-10-25,2330,20376352,Foreign_Investor,32862000
2012-10-25,2330,335000,Investment_Trust,269000
2012-10-26,2330,996000,Dealer,2017000
2012-10-26,2330,48126000,Foreign_Investor,28821448
2012-10-26,2330,2049000,Investment_Trust,800000
2012-10-29,2330,1143000,Dealer,1200000
2012-10-29,2330,27565983,Foreign_Investor,18367000
2012-10-29,2330,3536000,Investment_Trust,314447
2012-10-30,2330,1298000,Dealer,975000
2012-10-30,2330,18312463,Foreign_Investor,17904362
2012-10-30,2330,2325000,Investment_Trust,626000
2012-10-31,2330,630000,Dealer,639000
2012-10-31,2330,21035000,Foreign_Investor,16627504
2012-10-31,2330,595000,Investment_Trust,66000
2012-11-01,2330,1376000,Dealer,665000
2012-11-01,2330,27879000,Foreign_Investor,22328994
2012-11-01,2330,954000,Investment_Trust,80000
2012-11-02,2330,318000,Dealer,1531000
2012-11-02,2330,33660120,Foreign_Investor,21007000
2012-11-02,2330,990000,Investment_Trust,80000
2012-11-05,2330,758000,Dealer,1153000
2012-11-05,2330,26607000,Foreign_Investor,16131415
2012-11-05,2330,161000,Investment_Trust,18000
2012-11-06,2330,1300000,Dealer,387000
2012-11-06,2330,22033000,Foreign_Investor,17386511
2012-11-06,2330,156000,Investment_Trust,916000
2012-11-07,2330,777000,Dealer,766000
2012-11-07,2330,17225000,Foreign_Investor,11402686
2012-11-07,2330,761000,Investment_Trust,147000
2012-11-08,2330,542000,Dealer,1026000
2012-11-08,2330,30380721,Foreign_Investor,31851574
2012-11-08,2330,2832000,Investment_Trust,108000
2012-11-09,2330,798000,Dealer,800000
2012-11-09,2330,33300000,Foreign_Investor,26328000
2012-11-09,2330,14000,Investment_Trust,25000
2012-11-12,2330,378000,Dealer,622000
2012-11-12,2330,23444002,Foreign_Investor,13775700
2012-11-12,2330,707000,Investment_Trust,19000
2012-11-13,2330,889000,Dealer,879000
2012-11-13,2330,25119000,Foreign_Investor,35288549
2012-11-13,2330,1936000,Investment_Trust,159000
2012-11-14,2330,318000,Dealer,1125000
2012-11-14,2330,23256527,Foreign_Investor,23832077
2012-11-14,2330,637000,Investment_Trust,74000
2012-11-15,2330,1194000,Dealer,641000
2012-11-15,2330,15645000,Foreign_Investor,15754890
2012-11-15,2330,806000,Investment_Trust,209000
2012-11-16,2330,1064000,Dealer,497000
2012-11-16,2330,28726000,Foreign_Investor,29245000
2012-11-16,2330,187000,Investment_Trust,0
2012-11-19,2330,437000,Dealer,442000
2012-11-19,2330,19569221,Foreign_Investor,18991825
2012-11-19,2330,1044000,Investment_Trust,326000
2012-11-20,2330,208000,Dealer,375000
2012-11-20,2330,18072000,Foreign_Investor,17884592
2012-11-20,2330,168000,Investment_Trust,0
2012-11-21,2330,1995000,Dealer,912000
2012-11-21,2330,22807000,Foreign_Investor,23465234
2012-11-21,2330,204000,Investment_Trust,30000
2012-11-22,2330,1047000,Dealer,838000
2012-11-22,2330,12600000,Foreign_Investor,9037731
2012-11-22,2330,6082000,Investment_Trust,34000
2012-11-23,2330,1242000,Dealer,763000
2012-11-23,2330,39728700,Foreign_Investor,18772721
2012-11-23,2330,1762000,Investment_Trust,2298000
2012-11-26,2330,628000,Dealer,780000
2012-11-26,2330,26496000,Foreign_Investor,24979184
2012-11-26,2330,286000,Investment_Trust,135000
2012-11-27,2330,490000,Dealer,763000
2012-11-27,2330,31532200,Foreign_Investor,30477661
2012-11-27,2330,5000,Investment_Trust,1010000
2012-11-28,2330,667000,Dealer,505000
2012-11-28,2330,45240800,Foreign_Investor,55062116
2012-11-28,2330,25000,Investment_Trust,221000
2012-11-29,2330,683000,Dealer,1107000
2012-11-29,2330,49147000,Foreign_Investor,38489419
2012-11-29,2330,135000,Investment_Trust,166000
2012-11-30,2330,1425000,Dealer,1779000
2012-11-30,2330,58616650,Foreign_Investor,51268871
2012-11-30,2330,425000,Investment_Trust,187256
2012-12-03,2330,1922000,Dealer,600000
2012-12-03,2330,29226286,Foreign_Investor,33878279
2012-12-03,2330,300000,Investment_Trust,118000
2012-12-04,2330,3257000,Dealer,328000
2012-12-04,2330,18404076,Foreign_Investor,35004982
2012-12-04,2330,60000,Investment_Trust,269000
2012-12-05,2330,3216000,Dealer,1357000
2012-12-05,2330,34777440,Foreign_Investor,40346475
2012-12-05,2330,544000,Investment_Trust,685000
2012-12-06,2330,746000,Dealer,1780000
2012-12-06,2330,26822089,Foreign_Investor,23300068
2012-12-06,2330,0,Investment_Trust,116000
2012-12-07,2330,379000,Dealer,1555000
2012-12-07,2330,24087000,Foreign_Investor,16003205
2012-12-07,2330,122000,Investment_Trust,145000
2012-12-10,2330,853000,Dealer,475000
2012-12-10,2330,20344000,Foreign_Investor,24700877
2012-12-10,2330,98000,Investment_Trust,1017000
2012-12-11,2330,750000,Dealer,1418000
2012-12-11,2330,33307133,Foreign_Investor,24306907
2012-12-11,2330,210000,Investment_Trust,82000
2012-12-12,2330,1053000,Dealer,243000
